Title,Artist,"Artist (Last, First)",Series,Volume,Online Videos,Labels,Catalog Number,Country,Release Year,Original Release Year,Tracks,Versions,Genres,Styles,Composers,Orchestras,Conductors,Performers,Writers,Production Companies,Producers,Description,Edition,Media,Format,Content Type,Length,Vinyl Size,Vinyl Speed,List Price,Language,Packaging,Number Of Volumes,UPC-EAN13,Favorites,Rating,Physical Location,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Cover Condition,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,discogs Release ID,Category,Wish List,Previously Owned,Uploaded Image URL,Activities
Greatest Hits,The Dave Brubeck Quartet,"Quartet, The Dave Brubeck",,,,,,,2020,,"[{""title"":""A1. Take Five"",""duration"":325},{""title"":""A2. Blue Rondo A La Turk"",""duration"":403},{""title"":""A3. Camptown Races"",""duration"":130},{""title"":""A4. Tonight"",""duration"":226},{""title"":""A5. Unsquare Dance"",""duration"":120},{""title"":""A6. Paradiddle Joe (with Carmen McCrae)"",""duration"":123},{""title"":""B1. I'm In A Dancing Mood"",""duration"":179},{""title"":""B2. It's A Raggy Waltz"",""duration"":316},{""title"":""B3. The Trolley Song"",""duration"":185},{""title"":""B4. Eleven Four"",""duration"":171},{""title"":""B5. Bossa Nova USA"",""duration"":147},{""title"":""B6. Take Five (with Carmen McCrae)"",""duration"":134}]",,Jazz,,,,,,,,,,,,,,,,,,,,,5060348582885,0,0.000000,,,,,,0,,,,,,2025/09/28 20:16:07.217890977,,,,,,,,16226496,,0,0,https://i.discogs.com/6ng1kXAal-F4Hni5o1J-7GXnhZPKJ-BgyIM4xrNl8KM/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2MjI2/NDk2LTE2MDU1OTQw/MDYtMjk3Ni5qcGVn.jpeg,
Horn Culture,Sonny Rollins,"Rollins, Sonny",,,"[{""title"":""Sonny Rollins - God Bless The Child (Official Audio)"",""youtubeID"":""pNoqvtJHj4o""},{""title"":""Sonny Rollins - God Bless The Child (Official Audio)"",""youtubeID"":""pNoqvtJHj4o""},{""title"":""Sonny Rollins - Good Morning, Heartache (Official Audio)"",""youtubeID"":""z3JuO3ijOss""},{""title"":""Sonny Rollins - Good Morning, Heartache (Official Audio)"",""youtubeID"":""z3JuO3ijOss""},{""title"":""Sonny Rollins - Horn Culture (Full Album)"",""youtubeID"":""q_rwYj2jCZU""},{""title"":""Sonny Rollins - Horn Culture (Full Album)"",""youtubeID"":""q_rwYj2jCZU""},{""title"":""Sonny Rollins - Love Man (Official Audio)"",""youtubeID"":""jTgkptvcMWY""},{""title"":""Sonny Rollins - Love Man (Official Audio)"",""youtubeID"":""jTgkptvcMWY""},{""title"":""Sonny Rollins - Notes For Eddie (Official Audio)"",""youtubeID"":""uBlfRH-UvbY""},{""title"":""Sonny Rollins - Notes For Eddie (Official Audio)"",""youtubeID"":""uBlfRH-UvbY""},{""title"":""Sonny Rollins - Pictures In The Reflections Of A Golden Horn (Official Audio)"",""youtubeID"":""ygbgj-rBgdM""},{""title"":""Sonny Rollins - Pictures In The Reflections Of A Golden Horn (Official Audio)"",""youtubeID"":""ygbgj-rBgdM""},{""title"":""Sonny Rollins - Sais (Official Audio)"",""youtubeID"":""lFG-suShkUU""},{""title"":""Sonny Rollins - Sais (Official Audio)"",""youtubeID"":""lFG-suShkUU""}]",,,,1973,,"[{""title"":""A1. Pictures In The Reflection Of A Golden Horn"",""duration"":287},{""title"":""A2. Sais"",""duration"":707},{""title"":""A3. Notes For Eddie"",""duration"":469},{""title"":""B1. God Bless' The Child"",""duration"":337},{""title"":""B2. Love Man"",""duration"":562},{""title"":""B3. Good Morning, Heartache"",""duration"":498}]",,Jazz,,,,,"Piano - James Mtume,Electric Piano - Walter Davis Jr.,Drums - David Lee (2),Piano - Walter Davis Jr.,Tenor Saxophone - Sonny Rollins,Guitar - Yoshiaki Masuo,Percussion - James Mtume",,,,,,,,Album,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 23:20:10.236932039,,,,,,,,1258862,,0,0,https://i.discogs.com/IlfTPg4IPiBP244aGnvtqCAxg_QGYQ4WZXheXcB8bxU/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNTg4/NjItMTIwNDM4NDU5/MS5qcGVn.jpeg,
Hotel California,Eagles,Eagles,,,"[{""title"":""Hotel California (2013 Remaster)"",""youtubeID"":""BciS5krYL80""},{""title"":""Victim of Love (2013 Remaster)"",""youtubeID"":""AFdomKzAPTY""}]",,,,1976,,"[{""title"":""A1. Hotel California"",""duration"":390},{""title"":""A2. New Kid In Town"",""duration"":304},{""title"":""A3. Life In The Fast Lane"",""duration"":286},{""title"":""A4. Wasted Time"",""duration"":295},{""title"":""B1. Wasted Time (Reprise)"",""duration"":82},{""title"":""B2. Victim Of Love"",""duration"":251},{""title"":""B3. Pretty Maids All In A Row"",""duration"":245},{""title"":""B4. Try And Love Again"",""duration"":310},{""title"":""B5. The Last Resort"",""duration"":445}]",,Rock,,,,,"Lead Vocals - Joe Walsh,Lead Guitar - Glenn Frey,Guitar - Glenn Frey,Organ - Joe Walsh,Piano - Joe Walsh,Clavinet - Glenn Frey,Lead Guitar - Joe Walsh,Guitar - Joe Walsh,Electric Piano - Joe Walsh,Lead Guitar - Don Felder,Synthesizer - Glenn Frey,Piano - Glenn Frey,Synthesizer - Joe Walsh,Lead Vocals - Don Henley,Keyboards - Joe Walsh,Electric Guitar - Don Felder,Vocals - Glenn Frey,Drums - Don Henley,Percussion - Don Henley,Guitar - Don Felder,Keyboards - Glenn Frey,Vocals - Don Henley,Lead Vocals - Glenn Frey,Vocals - Joe Walsh,Vocals - Don Felder,Performer - Don Felder,Lead Vocals - Randy Meisner,Performer - Joe Walsh,Synthesizer - Don Henley,Performer - Randy Meisner,Bass - Randy Meisner,Performer - Glenn Frey,Performer - Don Henley,Vocals - Randy Meisner",,,,,,,,Album,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 08:53:00.976588964,,,,,,,,1934367,,0,0,https://i.discogs.com/2JRfmUxxKRn1L1g5bJQ3Z7urblnqF2K17zg2SrBzON0/rs:fit/g:sm/q:90/h:600/w:596/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5MzQz/NjctMTM4MzkwODQz/OC00MTc1LmpwZWc.jpeg,
I Couldn't Believe My Eyes Plus,Brownie McGhee,"McGhee, Brownie",,,"[{""title"":""Brownie McGhee And Sonny Terry With Earl Hooker – Black Cat Bone"",""youtubeID"":""EAbk4YG_0FA""},{""title"":""Brownie McGhee And Sonny Terry With Earl Hooker – Brownie's New Blues"",""youtubeID"":""xtKg3V-k6mc""},{""title"":""Brownie McGhee And Sonny Terry With Earl Hooker – Don't Wait For Me"",""youtubeID"":""F4EtZdJ-Dk4""},{""title"":""Brownie McGhee And Sonny Terry With Earl Hooker – I Couldn't Believe My Eyes"",""youtubeID"":""ZMOugW9f3wE""},{""title"":""Brownie McGhee And Sonny Terry With Earl Hooker – I'm In Love With You Baby"",""youtubeID"":""nAjxP1QL9R4""},{""title"":""Brownie McGhee And Sonny Terry With Earl Hooker – My Baby's So Fine"",""youtubeID"":""90AsIzypnZc""},{""title"":""Brownie McGhee And Sonny Terry With Earl Hooker – Poor Man Blues"",""youtubeID"":""3o4jlFZD5jo""},{""title"":""Brownie McGhee And Sonny Terry With Earl Hooker – Tell Me Why"",""youtubeID"":""3VkUX9vKBkw""},{""title"":""Brownie McGhee And Sonny Terry With Earl Hooker – When I Was Drinkin'"",""youtubeID"":""exAXrGdiKrc""}]",,,,1987,,"[{""title"":""A1. Black Cat Bone"",""duration"":0},{""title"":""A2. Brownie's New Blues"",""duration"":0},{""title"":""A3. Poor Man's Blues"",""duration"":0},{""title"":""A4. Tell Me Why"",""duration"":0},{""title"":""A5. My Baby's So Fine"",""duration"":0},{""title"":""A6. You Just Usin' Me For A Convenience"",""duration"":0},{""title"":""A7. Hole In The Wall"",""duration"":0},{""title"":""A8. Long Way From Home"",""duration"":0},{""title"":""B1. Dont Wait For Me"",""duration"":0},{""title"":""B2. I'm In Love With You Baby"",""duration"":0},{""title"":""B3. Parcel Post Blues"",""duration"":0},{""title"":""B4. When I Was Drinkin'"",""duration"":0},{""title"":""B5. I Couldn't Believe My Eyes"",""duration"":0},{""title"":""B6. Life Is A Gamble"",""duration"":0},{""title"":""B7. Don't Mistreat Me"",""duration"":0},{""title"":""B8. Rock Island Line"",""duration"":0}]",,Blues,,,,,,,,,,,,,,,,,,,,,5014661009215,0,0.000000,,,,,,0,,,,,,2025/09/20 23:04:04.755166053,,,,,,,,4191776,,0,0,https://i.discogs.com/C4SFanzMNBkNeXWjc1vIUKT67Yc0awQoaafbpYIJWjs/rs:fit/g:sm/q:90/h:547/w:547/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQxOTE3/NzYtMTM1ODA5OTM5/MS0yNTYzLmpwZWc.jpeg,
I Didn't Give A Damn If Whites Bought It! - The Ralph Bass Session Vol. 1,Lacy Gibson,"Gibson, Lacy",,,,,,,1984,,"[{""title"":""A1. Lacy Gibson - You Better Be Sure"",""duration"":0},{""title"":""A2. Lacy Gibson - Easy Woman"",""duration"":0},{""title"":""A3. Lacy Gibson - Whop That Thang Around Me"",""duration"":0},{""title"":""A4. Lacy Gibson - Black Jack"",""duration"":0},{""title"":""A5. Lacy Gibson - C. B. Blues"",""duration"":0},{""title"":""B1. Joe Carter (5) - I'm Worried"",""duration"":0},{""title"":""B2. Joe Carter (5) - Annie Lee"",""duration"":0},{""title"":""B3. Joe Carter (5) - Sweet Home Chicago"",""duration"":0},{""title"":""B4. Joe Carter (5) - Joe's Boogie"",""duration"":0},{""title"":""B5. Joe Carter (5) - Joe's New Stormy Monday"",""duration"":0}]",,Blues,,,,,"Vocals - Joe Carter (5),Bass - Willie Black (2),Guitar - Joe Carter (5),Piano - Sunnyland Slim,Drums - Fred Below,Guitar - Lacy Gibson,Vocals - Lacy Gibson",,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 23:03:36.250095963,,,,,,,,2946562,,0,0,https://i.discogs.com/jXcOfMgPaBjf1mC3ngkvjVvOLsf6vcHkYu-h3Ommulc/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5NDY1/NjItMTcyNzI1MDE3/My0xODUwLmpwZWc.jpeg,
Illmatic,Nas,Nas,,,"[{""title"":""Halftime"",""youtubeID"":""wjmrHOwm4tw""},{""title"":""illmatic - 10  - Nas - It Ain't Hard to Tell"",""youtubeID"":""WwuY1uTdLJQ""},{""title"":""It Ain't Hard to Tell"",""youtubeID"":""0yCJs3GrjpE""},{""title"":""Nas - Halftime (Official Video - Explicit)"",""youtubeID"":""HCDYgZM5yq0""},{""title"":""Nas - Illmatic (Full Album)"",""youtubeID"":""7hsYF0UxaWc""},{""title"":""Nas - Illmatic (Full Album)"",""youtubeID"":""tJBtztG-xR4""},{""title"":""Nas - N.Y. State of Mind (Official Audio)"",""youtubeID"":""hI8A14Qcv68""},{""title"":""The Genesis"",""youtubeID"":""Ufc81wjxOyE""}]",,,,2017,,"[{""title"":""40 Side North"",""duration"":0},{""title"":""A1. The Genesis"",""duration"":105},{""title"":""A2. N.Y. State Of Mind"",""duration"":293},{""title"":""A3. Life's A Bitch"",""duration"":209},{""title"":""A4. The World Is Yours"",""duration"":290},{""title"":""A5. Halftime"",""duration"":260},{""title"":""41st Side South"",""duration"":0},{""title"":""B1. Memory Lane (Sittin' In Da Park)"",""duration"":247},{""title"":""B2. One Love"",""duration"":324},{""title"":""B3. One Time 4 Your Mind"",""duration"":198},{""title"":""B4. Represent"",""duration"":253},{""title"":""B5. It Ain't Hard To Tell"",""duration"":202}]",,Hip Hop,,,,,"Trumpet - Olu Dara,Performer - T La Rock",,,,,,,,Album,,,,,,,,5099747595912,0,0.000000,,,,,,0,,,,,,2025/09/20 23:24:56.245676994,,,,,,,,10676369,,0,0,https://i.discogs.com/gQuh1hWKY_6saeZbrxuKwYfnitm7qN2jCkfhRZn8ka4/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNjc2/MzY5LTE1NzEzMjU1/MjYtNTcyNy5qcGVn.jpeg,
Inner Secrets,Santana,Santana,,,"[{""title"":""Dealer \/ Spanish Rose"",""youtubeID"":""42gNNWqUlAM""},{""title"":""Move On"",""youtubeID"":""Li9n0DEpnxg""},{""title"":""Open Invitation"",""youtubeID"":""GQgV7w1YkPk""},{""title"":""Santana - Inner Secrets (Full Album) Vinyl Rip"",""youtubeID"":""LEAXAl8M__M""},{""title"":""Santana - Inner Secrets (Full Album) Vinyl Rip"",""youtubeID"":""LEAXAl8M__M""},{""title"":""The Facts of Love"",""youtubeID"":""1l_AMkD2Sjc""},{""title"":""Well All Right"",""youtubeID"":""GGEuhE8haRY""}]",,,,1978,,"[{""title"":""A1. Dealer \/ Spanish Rose"",""duration"":350},{""title"":""A2. Move On"",""duration"":267},{""title"":""A3. One Chain (Don't Make No Prison)"",""duration"":373},{""title"":""A4. Stormy"",""duration"":285},{""title"":""B1. Well All Right"",""duration"":249},{""title"":""B2. Open Invitation"",""duration"":285},{""title"":""B3. Life Is A Lady \/ Holiday"",""duration"":227},{""title"":""B4. The Facts Of Love"",""duration"":328},{""title"":""B5. Wham!"",""duration"":204}]",,"Rock,Pop,Funk / Soul,Latin",,,,,"Clavinet - Dennis Lambert,Congas - Raul Rekow,Backing Vocals - Dennis Lambert,Drums - Graham Lear,Keyboards - Chris Rhyne,Synthesizer - Chris Rhyne,Backing Vocals - Greg Walker,Bass - David Margen,Percussion - Armando Peraza,Organ - Chris Solberg,Percussion - Pete Escovedo,Rhythm Guitar - Carlos Santana,Lead Vocals - Greg Walker,Percussion - Raul Rekow,Lead Guitar - Carlos Santana,Rhythm Guitar - Chris Solberg,Lead Guitar - Chris Solberg",,,,,,,,Album,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 23:16:11.537747979,,,,,,,,415111,,0,0,https://i.discogs.com/DQKoUyGYqUxyk2Q3YjR37h7z1aKaEMw4R74aIkNJPbk/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQxNTEx/MS0xNzIwNzk1OTI3/LTcxMTYuanBlZw.jpeg,
Jazz At The Pawnshop,Arne Domnérus,"Domnérus, Arne",,,"[{""title"":""Barbados"",""youtubeID"":""2xrmTPCpgQo""},{""title"":""Everything Happens to Me"",""youtubeID"":""DHWzP3Biaf0""},{""title"":""Going Places: Jeepers Creepers: Jeepers Creepers"",""youtubeID"":""hi1fnehZ7p8""},{""title"":""Here's That Rainy Day"",""youtubeID"":""3JpNwkVtYyk""},{""title"":""High Life"",""youtubeID"":""H3j_4eZPNb0""},{""title"":""High Life"",""youtubeID"":""re4ox80UK5w""},{""title"":""How High the Moon"",""youtubeID"":""uS-0Sg5zkCo""},{""title"":""I'm Confessin'"",""youtubeID"":""mBOoGApFF_Q""},{""title"":""I'm Confessin'"",""youtubeID"":""2MaE8ZlAISs""},{""title"":""In a Mellow Tone"",""youtubeID"":""mW35CB_4cKM""},{""title"":""Jazz at the Pawnshop - \""High Life\"""",""youtubeID"":""OQwfBFqn-4g""},{""title"":""Jeep's Blues"",""youtubeID"":""1E4d-mGYjm0""},{""title"":""Jeep's Blues"",""youtubeID"":""jgCOtU5gV7o""},{""title"":""Lady Be Good: Lady, Be Good"",""youtubeID"":""6LKVTHQHCww""},{""title"":""Limehouse Blues"",""youtubeID"":""BkBhGD4FV-g""},{""title"":""Limehouse Blues"",""youtubeID"":""tVqeQ7jj64E""},{""title"":""Limehouse Blues"",""youtubeID"":""BkBhGD4FV-g""},{""title"":""Now's the Time"",""youtubeID"":""cZwXNq1xKaM""},{""title"":""Out of Nowhere"",""youtubeID"":""s_8Eau7XGzg""},{""title"":""Struttin' With Some Barbeque"",""youtubeID"":""Dd-0QYu8x_s""},{""title"":""Stuffy"",""youtubeID"":""ocsfR7wsfpQ""},{""title"":""Stuffy"",""youtubeID"":""ocsfR7wsfpQ""},{""title"":""Take Five"",""youtubeID"":""XXxBjkorD8c""},{""title"":""Take Five"",""youtubeID"":""yRLPtbTvGwA""},{""title"":""Take Five"",""youtubeID"":""yRLPtbTvGwA""},{""title"":""Take the A Train"",""youtubeID"":""l2VksvcrQVo""},{""title"":""The Wizard of Oz: Over the Rainbow"",""youtubeID"":""xIAxU6nlvF8""}]",,,,1977,,"[{""title"":""A1. Limehouse Blues"",""duration"":575},{""title"":""A2. I'm Confessin'"",""duration"":480},{""title"":""A3. High Life"",""duration"":400},{""title"":""B1. Struttin' With Some Barbeq"",""duration"":360},{""title"":""B2. Jeep's Blues"",""duration"":420},{""title"":""B3. Stuffy"",""duration"":420},{""title"":""C1. Lady Be Good"",""duration"":540},{""title"":""C2. Here Is That Rainy Day"",""duration"":330},{""title"":""C3. Barbados"",""duration"":480},{""title"":""D1. How High The Moon"",""duration"":380},{""title"":""D2. Take Five"",""duration"":420},{""title"":""D3. Everything Happens To Me"",""duration"":300}]",,Jazz,,,,,"Piano - Bengt Hallberg,Saxophone - Arne Domnérus,Clarinet - Arne Domnérus,Drums - Egil Johansen,Bass - Georg Riedel",,,,,,,,Album,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/28 20:15:55.999390959,,,,,,,,1163882,,0,0,https://i.discogs.com/znnklGEEZHuSR-aXTIxvtlGPHWREO1gACksCaVOjVF0/rs:fit/g:sm/q:90/h:600/w:596/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExNjM4/ODItMTUxMjYzMDI4/Ny02MDE3LmpwZWc.jpeg,
Kaya,Bob Marley & The Wailers,"Wailers, Bob Marley & The",,,"[{""title"":""Bob Marley   Kaya 1978 Full Album"",""youtubeID"":""PyTm8x2p2fA""},{""title"":""Bob Marley & The Wailers - Kaya - 01 - Easy Skanking"",""youtubeID"":""26CTnOAzVVQ""},{""title"":""Bob Marley & The Wailers - Kaya - 02 - Kaya"",""youtubeID"":""bmcJ2wuNlIk""},{""title"":""Bob Marley & The Wailers - Kaya - 03 - Is This Love"",""youtubeID"":""OrHGdmT2raM""},{""title"":""Bob Marley & The Wailers - Kaya - 04 - Sun Is Shining"",""youtubeID"":""OdV1303sJXc""},{""title"":""Bob Marley & The Wailers - Kaya - 05 - Satisfy My Soul"",""youtubeID"":""FrF57NkGc2Y""},{""title"":""Bob Marley & The Wailers - Kaya - 06 - She's Gone"",""youtubeID"":""gyPuFEpIgU0""},{""title"":""Bob Marley & The Wailers - Kaya - 07 - Misty Morning"",""youtubeID"":""rfgSRhL3Ee8""},{""title"":""Bob Marley & The Wailers - Kaya - 08 - Crisis"",""youtubeID"":""neEB7PDOJCI""},{""title"":""Bob Marley & The Wailers - Kaya - 09 - Running Away"",""youtubeID"":""sQq9M-P0GmI""},{""title"":""Bob Marley & The Wailers - Kaya - 10 - Time Will Tell"",""youtubeID"":""d8Oi38rJM2o""},{""title"":""Bob Marley & the Wailers ~ Satisfy My Soul (Live on British tv\/c.c.)"",""youtubeID"":""eY521mQrlnE""},{""title"":""Bob Marley & the Wailers ~ Satisfy My Soul (Live on British tv\/c.c.)"",""youtubeID"":""eY521mQrlnE""},{""title"":""Kaya"",""youtubeID"":""vbED91NU4vE""},{""title"":""Kaya (1978) - Bob Marley & The Wailers"",""youtubeID"":""q8bFkr22-j4""}]",,,,1978,,"[{""title"":""A1. Easy Skanking"",""duration"":0},{""title"":""A2. Kaya"",""duration"":0},{""title"":""A3. Is This Love"",""duration"":0},{""title"":""A4. Sun Is Shining"",""duration"":0},{""title"":""A5. Satisfy My Soul"",""duration"":0},{""title"":""B1. She's Gone"",""duration"":0},{""title"":""B2. Misty Morning"",""duration"":0},{""title"":""B3. Crisis"",""duration"":0},{""title"":""B4. Running Away"",""duration"":0},{""title"":""B5. Time Will Tell"",""duration"":0}]",,Reggae,,,,,"Keyboards - Tyrone Downie,Lead Guitar - Junior Marvin,Percussion - Carlton Barrett,Saxophone - Vin Gordon,Percussion - Alvin ""Seeco"" Patterson,Rhythm Guitar - Bob Marley,Drums - Carlton Barrett,Backing Vocals - I Threes,Acoustic Guitar - Bob Marley,Percussion - Aston ""Family Man"" Barrett,Lead Vocals - Bob Marley,Bass Guitar - Aston ""Family Man"" Barrett,Percussion - Bob Marley,Percussion - Tyrone Downie",,,,,,,,Album,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 23:09:10.298997998,,,,,,,,427811,,0,0,https://i.discogs.com/3CiB6FRtYFFGP3o1XPx0ARn6fB8MU7v8NHWDs4wG1ig/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQyNzgx/MS0xMjYxMTQyOTMx/LmpwZWc.jpeg,
Kind Of Blue,Miles Davis,"Davis, Miles",,,,,,,2020,,"[{""title"":""A1. So What"",""duration"":0},{""title"":""A2. Freddie Freeloader"",""duration"":0},{""title"":""A3. Blue In Green"",""duration"":0},{""title"":""B1. All Blues"",""duration"":0},{""title"":""B2. Flamenco Sketches"",""duration"":0}]",,Jazz,,,,,"Trumpet - Miles Davis,Drums - Jimmy Cobb,Tenor Saxophone - John Coltrane,Piano - Bill Evans,Piano - Wynton Kelly,Alto Saxophone - Cannonball Adderley,Bass - Paul Chambers (3)",,,,,,,,Album,,,,,,,,0194398021911,0,0.000000,,,,,,0,,,,,,2025/09/28 20:16:19.371984958,,,,,,,,17196403,,0,0,https://i.discogs.com/H6ckgBNV6wbbM1E_5ntChRK9FLcqvok-nNnvNMlCDC0/rs:fit/g:sm/q:90/h:600/w:592/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3MTk2/NDAzLTE2Mjk3NzMw/NDQtODEyNC5qcGVn.jpeg,
La Chanson De Prévert,Serge Gainsbourg,"Gainsbourg, Serge",,,,,,,2015,,"[{""title"":""A1. La Chanson De Prévert"",""duration"":0},{""title"":""A2. En Relisant Ta Lettre"",""duration"":0},{""title"":""A3. L'Amour A La Papa"",""duration"":0},{""title"":""A4. Intoxicated Man"",""duration"":0},{""title"":""A5. Ce Grand Méchant Vous"",""duration"":0},{""title"":""A6. Les Amours Perdues"",""duration"":0},{""title"":""B1. L'Eau A La Bouche"",""duration"":0},{""title"":""B2. Viva Villa"",""duration"":0},{""title"":""B3. Sois Belle Et Tais-Toi"",""duration"":0},{""title"":""B4. Baudelaire"",""duration"":0},{""title"":""B5. Personne"",""duration"":0},{""title"":""B6. Les Goémons"",""duration"":0}]",,Pop,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 23:11:05.486490964,,,,,,,,6532527,,0,0,https://i.discogs.com/zPquAtSdwWE_PtRU83YKSstYRNsxdWZLXenbcXzhJ2E/rs:fit/g:sm/q:90/h:600/w:599/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY1MzI1/MjctMTQyMTQwODcw/Mi05ODU3LmpwZWc.jpeg,
Life By Misadventure,Rag'n'Bone Man,"Man, Rag'n'Bone",,,"[{""title"":""Rag'n'Bone Man - All You Ever Wanted (Official Video)"",""youtubeID"":""zA-zoyipi6A""},{""title"":""Rag'n'Bone Man - All You Ever Wanted (Official Video)"",""youtubeID"":""zA-zoyipi6A""},{""title"":""Rag'n'Bone Man - Alone (Official Audio)"",""youtubeID"":""tNkZG-2xU1c""},{""title"":""Rag'n'Bone Man - Alone (Official Audio)"",""youtubeID"":""tNkZG-2xU1c""},{""title"":""Rag'n'Bone Man - Alone (Official Audio)"",""youtubeID"":""tNkZG-2xU1c""},{""title"":""Rag'n'Bone Man - Fireflies (Official Audio)"",""youtubeID"":""RhW4-N2GGbU""},{""title"":""Rag'n'Bone Man - Fireflies (Official Audio)"",""youtubeID"":""RhW4-N2GGbU""},{""title"":""Rag'n'Bone Man - Lightyears (Official Audio)"",""youtubeID"":""qkmAt-pbA3M""},{""title"":""Rag'n'Bone Man - Lightyears (Official Audio)"",""youtubeID"":""qkmAt-pbA3M""},{""title"":""Rag'n'Bone Man - Lightyears (Official Audio)"",""youtubeID"":""qkmAt-pbA3M""},{""title"":""Rag'n'Bone Man - Party's Over (Official Audio)"",""youtubeID"":""D8BVgIZFqiA""},{""title"":""Rag'n'Bone Man - Talking to Myself (Official Audio)"",""youtubeID"":""B128t591KSM""},{""title"":""Rag'n'Bone Man - Talking to Myself (Official Audio)"",""youtubeID"":""B128t591KSM""},{""title"":""Rag'n'Bone Man - Talking to Myself (Official Audio)"",""youtubeID"":""B128t591KSM""},{""title"":""Rag'n'Bone Man - Time Will Only Tell (Official Audio)"",""youtubeID"":""b7vY6frNl5c""},{""title"":""Rag'n'Bone Man - Time Will Only Tell (Official Audio)"",""youtubeID"":""b7vY6frNl5c""},{""title"":""Rag'n'Bone Man - Time Will Only Tell (Official Audio)"",""youtubeID"":""b7vY6frNl5c""}]",,,,2021,,"[{""title"":""A1. Fireflies"",""duration"":0},{""title"":""A2. Breath In Me"",""duration"":0},{""title"":""A3. Fall In Love Again"",""duration"":0},{""title"":""A4. Talking To Myself"",""duration"":0},{""title"":""B1. Anywhere Away From Here"",""duration"":0},{""title"":""B2. Alone"",""duration"":0},{""title"":""B3. Crossfire"",""duration"":0},{""title"":""C1. All You Ever Wanted"",""duration"":0},{""title"":""C2. Changing Of The Guard"",""duration"":0},{""title"":""C3. Somewhere Along The Way"",""duration"":0},{""title"":""D1. Time Will Only Tell"",""duration"":0},{""title"":""D2. Lightyears"",""duration"":0},{""title"":""D3. Party's Over"",""duration"":0},{""title"":""D4. Old Habits"",""duration"":0}]",,"Pop,Funk / Soul",,,,,,,,,,,,,Album,,,,,,,,0194398549712,0,0.000000,,,,,,0,,,,,,2025/09/20 08:39:51.578974008,,,,,,,,18627877,,0,0,"https://m.media-amazon.com/images/I/81NeuUliG7L._UF1000,1000_QL80_.jpg",
